player_id,Player Name,team_id,team_name,tournament_id,Yellow URL,stage_name,tournament_name,team_code,Second Yellow URL,Red URL,minute_label,match_period,match_name,match_id,Year,Quarter,Month,Day,group_name,booking_id,Sum of yellow_card,Sum of shirt_number,Sum of sending_off,Sum of second_yellow_card,Sum of red_card,Sum of minute_stoppage,Sum of minute_regulation,Sum of home_team,Sum of away_team
P-00649,Sebastjan CimirotiÄ,T-69,Slovenia,WC-2002,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2002 FIFA Men's World Cup,SVN,"","",65',second half,Spain vs Slovenia,M-2002-08,2002,Qtr 2,June,2,Group B,B-2000,1,21,0,0,0,0,65,0,1
P-00668,Mourad Melki,T-79,Tunisia,WC-2002,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2002 FIFA Men's World Cup,TUN,"","",69',second half,Tunisia vs Belgium,M-2002-31,2002,Qtr 2,June,10,Group H,B-2092,1,21,0,0,0,0,69,1,0
P-00683,Al Hasan Al-Yami,T-63,Saudi Arabia,WC-2002,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2002 FIFA Men's World Cup,SAU,"","",59',second half,Cameroon vs Saudi Arabia,M-2002-19,2002,Qtr 2,June,6,Group E,B-2041,1,20,0,0,0,0,59,0,1
P-00820,Hedda Strand Gardsjord,T-53,Norway,WC-2011,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2011 FIFA Women's World Cup,NOR,"","",90'+2',"second half, stoppage time",Australia vs Norway,M-2011-21,2011,Qtr 3,July,6,Group D,B-3021,1,15,0,0,0,2,90,0,1
P-01045,Fabio Quagliarella,T-41,Italy,WC-2010,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2010 FIFA Men's World Cup,ITA,"","",83',second half,Slovakia vs Italy,M-2010-42,2010,Qtr 2,June,24,Group F,B-2890,1,18,0,0,0,0,83,0,1
P-01077,Ismaeel Mohammad,T-59,Qatar,WC-2022,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2022 FIFA Men's World Cup,QAT,"","",20',first half,Qatar vs Senegal,M-2022-18,2022,Qtr 4,November,25,Group A,B-3767,1,17,0,0,0,0,20,1,0
P-01137,Marius LÄƒcÄƒtuÈ™,T-61,Romania,WC-1990,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,1990 FIFA Men's World Cup,ROU,"","",4',first half,Argentina vs Romania,M-1990-25,1990,Qtr 2,June,18,Group B,B-1251,1,7,0,0,0,0,4,0,1
P-01137,Marius LÄƒcÄƒtuÈ™,T-61,Romania,WC-1990,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,1990 FIFA Men's World Cup,ROU,"","",44',first half,Soviet Union vs Romania,M-1990-02,1990,Qtr 2,June,9,Group B,B-1195,1,7,0,0,0,0,44,0,1
P-01164,John Obi Mikel,T-50,Nigeria,WC-2014,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2014 FIFA Men's World Cup,NGA,"","",81',second half,Nigeria vs Bosnia and Herzegovina,M-2014-29,2014,Qtr 2,June,21,Group F,B-3132,1,10,0,0,0,0,81,1,0
P-01164,John Obi Mikel,T-50,Nigeria,WC-2018,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2018 FIFA Men's World Cup,NGA,"","",90'+1',"second half, stoppage time",Nigeria vs Argentina,M-2018-40,2018,Qtr 2,June,26,Group D,B-3488,1,10,0,0,0,1,90,1,0
P-01165,Stefan Majewski,T-57,Poland,WC-1982,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,semi-finals,1982 FIFA Men's World Cup,POL,"","",43',first half,Poland vs Italy,M-1982-49,1982,Qtr 3,July,8,not applicable,B-1034,1,10,0,0,0,0,43,1,0
P-01249,Rio Ferdinand,T-28,England,WC-2002,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,quarter-finals,2002 FIFA Men's World Cup,ENG,"","",86',second half,England vs Brazil,M-2002-57,2002,Qtr 2,June,21,not applicable,B-2220,1,5,0,0,0,0,86,1,0
P-01259,Claudio Jara,T-17,Costa Rica,WC-1990,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,1990 FIFA Men's World Cup,CRI,"","",16',first half,Brazil vs Costa Rica,M-1990-19,1990,Qtr 2,June,16,Group C,B-1238,1,11,0,0,0,0,16,0,1
P-01302,Raissa Feudjio,T-11,Cameroon,WC-2015,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2015 FIFA Women's World Cup,CMR,"","",19',first half,Switzerland vs Cameroon,M-2015-29,2015,Qtr 2,June,16,Group C,B-3300,1,8,0,0,0,0,19,0,1
P-01302,Raissa Feudjio,T-11,Cameroon,WC-2019,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2019 FIFA Women's World Cup,CMR,"","",68',second half,Netherlands vs Cameroon,M-2019-21,2019,Qtr 2,June,15,Group E,B-3629,1,8,0,0,0,0,68,0,1
P-01311,Vincenzo Montella,T-41,Italy,WC-2002,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2002 FIFA Men's World Cup,ITA,"","",57',second half,Mexico vs Italy,M-2002-44,2002,Qtr 2,June,13,Group G,B-2160,1,20,0,0,0,0,57,0,1
P-01347,Brian Idowu,T-50,Nigeria,WC-2018,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2018 FIFA Men's World Cup,NGA,"","",44',first half,Nigeria vs Iceland,M-2018-25,2018,Qtr 2,June,22,Group D,B-3431,1,2,0,0,0,0,44,1,0
P-01462,Henri Camara,T-65,Senegal,WC-2002,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2002 FIFA Men's World Cup,SEN,"","",2',first half,Senegal vs Uruguay,M-2002-34,2002,Qtr 2,June,11,Group A,B-2101,1,7,0,0,0,0,2,1,0
P-01505,Santiago Arias,T-16,Colombia,WC-2018,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,round of 16,2018 FIFA Men's World Cup,COL,"","",52',second half,Colombia vs England,M-2018-56,2018,Qtr 3,July,3,not applicable,B-3544,1,4,0,0,0,0,52,1,0
P-01582,Arie Haan,T-48,Netherlands,WC-1978,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,second group stage,1978 FIFA Men's World Cup,NLD,"","",50',second half,Italy vs Netherlands,M-1978-34,1978,Qtr 2,June,21,Group A,B-0934,1,9,0,0,0,0,50,0,1
P-01608, Solange,T-09,Brazil,WC-1995,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,1995 FIFA Women's World Cup,BRA,"","",30',first half,Brazil vs Germany,M-1995-13,1995,Qtr 2,June,9,Group A,B-1668,1,4,0,0,0,0,30,1,0
P-01678,Adrian Knup,T-75,Switzerland,WC-1994,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,1994 FIFA Men's World Cup,CHE,"","",39',first half,Switzerland vs Colombia,M-1994-25,1994,Qtr 2,June,26,Group A,B-1498,1,9,0,0,0,0,39,1,0
P-01730,Carlos Salcedo,T-46,Mexico,WC-2018,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,round of 16,2018 FIFA Men's World Cup,MEX,"","",77',second half,Brazil vs Mexico,M-2018-53,2018,Qtr 3,July,2,not applicable,B-3536,1,3,0,0,0,0,77,0,1
P-01779, Mirandinha,T-09,Brazil,WC-1974,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,1974 FIFA Men's World Cup,BRA,"","",77',second half,Zaire vs Brazil,M-1974-19,1974,Qtr 2,June,22,Group 2,B-0849,1,19,0,0,0,0,77,0,1
P-01835,Paul Aguilar,T-46,Mexico,WC-2014,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2014 FIFA Men's World Cup,MEX,"","",59',second half,Brazil vs Mexico,M-2014-16,2014,Qtr 2,June,17,Group A,B-3098,1,22,0,0,0,0,59,0,1
P-01835,Paul Aguilar,T-46,Mexico,WC-2014,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,round of 16,2014 FIFA Men's World Cup,MEX,"","",69',second half,Netherlands vs Mexico,M-2014-51,2014,Qtr 2,June,29,not applicable,B-3197,1,22,0,0,0,0,69,0,1
P-01930,Almoez Ali,T-59,Qatar,WC-2022,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2022 FIFA Men's World Cup,QAT,"","",22',first half,Qatar vs Ecuador,M-2022-01,2022,Qtr 4,November,20,Group A,B-3710,1,19,0,0,0,0,22,1,0
P-01945,AndrÃ© Ayew,T-32,Ghana,WC-2010,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2010 FIFA Men's World Cup,GHA,"","",40',first half,Ghana vs Germany,M-2010-40,2010,Qtr 2,June,23,Group D,B-2878,1,13,0,0,0,0,40,1,0
P-01945,AndrÃ© Ayew,T-32,Ghana,WC-2010,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,round of 16,2010 FIFA Men's World Cup,GHA,"","",90'+2',"second half, stoppage time",United States vs Ghana,M-2010-50,2010,Qtr 2,June,26,not applicable,B-2923,1,13,0,0,0,2,90,0,1
P-01945,AndrÃ© Ayew,T-32,Ghana,WC-2022,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2022 FIFA Men's World Cup,GHA,"","",49',second half,Portugal vs Ghana,M-2022-15,2022,Qtr 4,November,24,Group H,B-3755,1,10,0,0,0,0,49,0,1
P-02102,Anatoliy Byshovets,T-72,Soviet Union,WC-1970,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,quarter-finals,1970 FIFA Men's World Cup,SUN,"","",118',"extra time, second half",Soviet Union vs Uruguay,M-1970-27,1970,Qtr 2,June,14,not applicable,B-0791,1,16,0,0,0,0,118,1,0
P-02163,Erland Johnsen,T-53,Norway,WC-1994,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,1994 FIFA Men's World Cup,NOR,"","",45',first half,Republic of Ireland vs Norway,M-1994-30,1994,Qtr 2,June,28,Group E,B-1520,1,3,0,0,0,0,45,0,1
P-02305, Casemiro,T-09,Brazil,WC-2018,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2018 FIFA Men's World Cup,BRA,"","",47',second half,Brazil vs Switzerland,M-2018-11,2018,Qtr 2,June,17,Group E,B-3387,1,5,0,0,0,0,47,1,0
P-02305, Casemiro,T-09,Brazil,WC-2018,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,round of 16,2018 FIFA Men's World Cup,BRA,"","",59',second half,Brazil vs Mexico,M-2018-53,2018,Qtr 3,July,2,not applicable,B-3535,1,5,0,0,0,0,59,1,0
P-02305, Casemiro,T-09,Brazil,WC-2022,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,quarter-finals,2022 FIFA Men's World Cup,BRA,"","",68',second half,Croatia vs Brazil,M-2022-57,2022,Qtr 4,December,9,not applicable,B-3894,1,5,0,0,0,0,68,0,1
P-02423,Quinton Fortune,T-70,South Africa,WC-1998,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,1998 FIFA Men's World Cup,ZAF,"","",38',first half,South Africa vs Saudi Arabia,M-1998-38,1998,Qtr 2,June,24,Group C,B-1850,1,7,0,0,0,0,38,1,0
